	organism	seedid	kingdom	phylum	mclass	order	family	genus	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	phenotype	imgid	ncbiid	platform	kbaseid
0	Abiotrophia_defectiva_ATCC_49176	Abiotrophia_defectiva_ATCC_49176_592010_4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Facultative_anaerobe	Saccharolytic_fermentative_or_respiratory	Positive	Pathogen	598	1069	840	Eugen_Bauer	07_01_14	1.0	2562617177.0	592010.0	ModelSEED	
1	Acidaminococcus_intestini_RyC_MR95	Acidaminococcus_intestini_RyC_MR95_568816_4	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Obligate_anaerobe	Asaccharolytic_glutamate_is_fermented	Negative	Commensal	599	994	827	Eugen_Bauer	08_03_14	4.0	2511231106.0	568816.0	Kbase	
2	Acidaminococcus_sp_D21	Acidaminococcus_sp_D21_563191_3	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Obligate_anaerobe	Asaccharolytic_glutamate_is_fermented	Negative	Commensal	598	851	768	Ines_Thiele	06_29_12	3.0	643886056.0	563191.0	Kbase	
3	Acinetobacter_junii_SH205	Acinetobacter_junii_SH205_575587_3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Aerobe	Strictly_respiratory_amino_acids_utilized	Negative	Opportunistic_pathogen	817	1289	950	Ines_Thiele	06_29_12	5.0	646206269.0	575587.0	ModelSEED	
4	Actinomyces_odontolyticus_ATCC_17982	Actinomyces_odontolyticus_ATCC_17982_411466_7	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Facultative_anaerobe	Saccharolytic_fermentative	Positive	Opportunistic_pathogen	586	854	692	Ines_Thiele	06_29_12	5.0	640963058.0	411466.0	Kbase	
5	Akkermansia_muciniphila_ATCC_BAA_835	Akkermansia_muciniphila_ATCC_BAA_835_349741_6	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Obligate_anaerobe	Saccharolytic_fermentative	Negative	Commensal	592	1126	880	Eugen_Bauer	08_03_14	4.0	642555104.0	349741.0	Kbase	
6	Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850	Anaerobaculum_hydrogeniformans_ATCC_BAA_1850_592015_5	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Anaerobaculum	Obligate_anaerobe	Saccharolytic_fermentative	Negative	Commensal	720	1022	824	Ines_Thiele	06_29_12	3.0	647000209.0	649746.0	Kbase	
7	Anaerococcus_hydrogenalis_DSM_7454	Anaerococcus_hydrogenalis_DSM_7454_561177_4	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Anaerococcus	Obligate_anaerobe	Weakly_saccharolytic_fermentative	Positive	Commensal	610	867	693	Ines_Thiele	06_29_12	4.0	642979323.0	561177.0	Kbase	
8	Anaerofustis_stercorihominis_DSM_17244	Anaerofustis_stercorihominis_DSM_17244_445971_6	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Commensal	584	972	842	Eugen_Bauer	08_03_14	1.0	641736193.0	445971.0	ModelSEED	
9	Anaerostipes_caccae_DSM_14662	Anaerostipes_caccae_DSM_14662_411490_6	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Obligate_anaerobe	Saccharolytic_fermentative_acetate_and_lactate_converted_to_butyrate	Positive	Commensal	1041	1164	952	Ines_Thiele	08_06_12	4.0	641736227.0	411490.0	ModelSEED	
