organism	seedid	kingdom	phylum	mclass	order	family	genus	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	phenotype	imgid	ncbiid	platform	kbaseid
Abiotrophia defectiva ATCC 49176	Abiotrophia defectiva ATCC 49176 (592010.4)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Facultative anaerobe	Saccharolytic, fermentative or respiratory	Positive	Pathogen	598	1069	840	Eugen Bauer	07/01/14	1	2562617177	592010	ModelSEED	
Acidaminococcus intestini RyC-MR95	Acidaminococcus intestini RyC-MR95 (568816.4)	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Obligate anaerobe	Asaccharolytic, glutamate is fermented	Negative	Commensal	599	994	827	Eugen Bauer	08/03/14	4	2511231106	568816	Kbase	
Acidaminococcus sp. D21	Acidaminococcus sp. D21 (563191.3)	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Obligate anaerobe	Asaccharolytic, glutamate is fermented	Negative	Commensal	598	851	768	Ines Thiele	06/29/12	3	643886056	563191	Kbase	
Acinetobacter junii SH205	Acinetobacter junii SH205 (575587.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Aerobe	Strictly respiratory, amino acids utilized	Negative	Opportunistic pathogen	817	1289	950	Ines Thiele	06/29/12	5	646206269	575587	ModelSEED	
Actinomyces odontolyticus ATCC 17982	Actinomyces odontolyticus ATCC 17982 (411466.7)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	586	854	692	Ines Thiele	06/29/12	5	640963058	411466	Kbase	
Akkermansia muciniphila ATCC BAA-835	Akkermansia muciniphila ATCC BAA-835 (349741.6)	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	592	1126	880	Eugen Bauer	08/03/14	4	642555104	349741	Kbase	
Anaerobaculum hydrogeniformans OS1, ATCC BAA-1850	Anaerobaculum hydrogeniformans ATCC BAA-1850 (592015.5)	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Anaerobaculum	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	720	1022	824	Ines Thiele	06/29/12	3	647000209	649746	Kbase	
Anaerococcus hydrogenalis DSM 7454	Anaerococcus hydrogenalis DSM 7454 (561177.4)	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Anaerococcus	Obligate anaerobe	Weakly saccharolytic, fermentative	Positive	Commensal	610	867	693	Ines Thiele	06/29/12	4	642979323	561177	Kbase	
Anaerofustis stercorihominis DSM 17244	Anaerofustis stercorihominis DSM 17244 (445971.6)	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	584	972	842	Eugen Bauer	08/03/14	1	641736193	445971	ModelSEED	
Anaerostipes caccae DSM 14662	Anaerostipes caccae DSM 14662 (411490.6)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Obligate anaerobe	Saccharolytic, fermentative, acetate and lactate converted to butyrate	Positive	Commensal	1041	1164	952	Ines Thiele	08/06/12	4	641736227	411490	ModelSEED	
Anaerostipes sp. 3_2_56FAA	Anaerostipes sp. 3_2_56FAA (665937.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	1083	1138	942	Ines Thiele	06/29/12	3	649989907	665937	Kbase	
Anaerotruncus colihominis DSM 17241	Anaerotruncus colihominis DSM 17241 (445972.6)	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	793	1087	886	Ines Thiele	04/20/12	4	641736271	445972	Kbase	
Bacillus cereus AH187 (F4810/72)	Bacillus cereus AH187 (405534.9)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Facultative anaerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive	Commensal	1125	1557	1112	Eugen Bauer	08/03/14	4	643348510	405534	Kbase	
Bacillus cereus G9842	Bacillus cereus G9842 (405531.7)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Facultative anaerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive	Commensal	1128	1569	1113	Eugen Bauer	08/03/14	2	643348513	405531	Kbase	
Bacteroides caccae ATCC 43185	Bacteroides caccae ATCC 43185 (411901.7)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	791	1226	953	Ines Thiele	04/20/12	2	640963023	411901	ModelSEED	
Bacteroides cellulosilyticus DSM 14838	Bacteroides cellulosilyticus DSM 14838 (537012.5)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	919	1301	1012	Ines Thiele	04/20/12	4	643886111	537012	ModelSEED	
Bacteroides coprocola M16, DSM 17136	Bacteroides coprocola DSM 17136 (470145.6)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	703	1087	883	Ines Thiele	04/20/12	3	642791613	310298	Kbase	
Bacteroides coprophilus DSM 18228	Bacteroides coprophilus DSM 18228 (547042.5)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	698	1074	870	Ines Thiele	04/20/12	1	643886197	547042	ModelSEED	
Bacteroides dorei DSM 17855	Bacteroides dorei DSM 17855 (483217.6)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	858	1152	945	Ines Thiele	04/20/12	4	642979370	483217	ModelSEED	
Bacteroides eggerthii 1_2_48FAA	Bacteroides eggerthii 1_2_48FAA (665953.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	797	1178	944	Ines Thiele	04/20/12	4	649989912	665953	Kbase	
